,sentence,target,target_type,category,polarity,opinin_Term
258,My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque .,Lobster Bisque,explicit,FOOD QUALITY,positive,award
259,"The food was very good , a great deal , and the place its self was great .",food,explicit,FOOD QUALITY,positive,good
260,"The food was very good , a great deal , and the place its self was great .",food,explicit,FOOD PRICES,positive,good
261,"The food was very good , a great deal , and the place its self was great .",place,explicit,AMBIENCE GENERAL,positive,great
262,I plan on stopping by next week as well .,NULL,implicit,RESTAURANT GENERAL,positive,stopping by next week
263,Big Wong is a great place to eat and fill your stomach .,Big Wong,explicit,RESTAURANT GENERAL,positive,great
264,The service was attentive .,service,explicit,SERVICE GENERAL,positive,attentive
265,"service is friendly , and never had a problem walking in and getting a table .",service,explicit,SERVICE GENERAL,positive,friendly
266,Authentic Pakistani food .,Pakistani food,explicit,FOOD QUALITY,positive,Authentic
267,I ate here a week ago and found most dishes average at best and too expensive .,dishes,explicit,FOOD QUALITY,negative,average
268,I ate here a week ago and found most dishes average at best and too expensive .,dishes,explicit,FOOD PRICES,negative,too expensive
269,Ca n't wait to go back .,NULL,implicit,RESTAURANT GENERAL,positive,go back
270,These are overpriced and you can get better just around the corner :,NULL,implicit,FOOD PRICES,negative,overpriced
271,These are overpriced and you can get better just around the corner :,NULL,implicit,FOOD QUALITY,negative,can get better
272,the turkey burgers are scary !,turkey burgers,explicit,FOOD QUALITY,negative,scary
273,A little overpriced but worth it once you take a bite .,NULL,implicit,FOOD PRICES,negative,overpriced
274,A little overpriced but worth it once you take a bite .,NULL,implicit,FOOD QUALITY,positive,worth
275,"If you do n't mind pre-sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place .",fish,explicit,FOOD QUALITY,negative,low quality
276,"If you do n't mind pre-sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place .",staff,explicit,SERVICE GENERAL,negative,unfriendly
277,"If you do n't mind pre-sliced low quality fish , unfriendly staff and a sushi chef that looks like he is miserable then this is your place .",sushi chef,explicit,RESTAURANT MISCELLANEOUS,negative,miserable
278,"The rest of the dim sum , though pricey by Chinatown standards , is worth it .",dim sum,explicit,FOOD PRICES,negative,pricey
279,"The rest of the dim sum , though pricey by Chinatown standards , is worth it .",dim sum,explicit,FOOD QUALITY,positive,worth
280,"If you are looking for a good quality , cheap eats - this is the place .",eats,explicit,FOOD QUALITY,positive,good quality
281,"If you are looking for a good quality , cheap eats - this is the place .",eats,explicit,FOOD PRICES,positive,cheap
282,"The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",food,explicit,FOOD QUALITY,positive,delicious
283,"The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",dishes,explicit,FOOD QUALITY,positive,never a disappointment
284,"The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",specials,explicit,FOOD QUALITY,positive,delicious
285,"The food is delicious - from the specials to the regular menu-fare , the dishes are never a disappointment .",regular menu-fare,explicit,FOOD QUALITY,positive,delicious
286,The prices were CHEAP compared to the quality of service and food .,NULL,implicit,RESTAURANT PRICES,positive,CHEAP
287,Fantastic place .,place,explicit,RESTAURANT GENERAL,positive,Fantastic
288,"This tiny restaurant is as cozy as it gets , with that certain Parisian flair .",restaurant,explicit,AMBIENCE GENERAL,positive,cozy
289,"Took my mom for Mother 's Day , and the maitre was pretty rude .",maitre,explicit,SERVICE GENERAL,negative,rude
290,If you want something really different than try Jekyll and Hyde .,Jekyll and Hyde,explicit,RESTAURANT GENERAL,positive,different
291,The sushi is amazing ! ! !,sushi,explicit,FOOD QUALITY,positive,amazing
292,The fish was not fresh and the rice tasted old and stale .,fish,explicit,FOOD QUALITY,negative,not fresh
293,The fish was not fresh and the rice tasted old and stale .,rice,explicit,FOOD QUALITY,negative,old
294,The fish was not fresh and the rice tasted old and stale .,rice,explicit,FOOD QUALITY,negative,stale
295,skip dessert .,dessert,explicit,FOOD QUALITY,negative,skip
296,The food is so cheap and the waiters are nice .,food,explicit,FOOD PRICES,positive,cheap
297,The food is so cheap and the waiters are nice .,waiters,explicit,SERVICE GENERAL,positive,nice
298,"This is a great place to take out-of-towners , and perfect for watching the sunset .",place,explicit,LOCATION GENERAL,positive,great
299,The wine list is interesting and has many good values .,wine list,explicit,DRINKS STYLE_OPTIONS,positive,interesting
300,The wine list is interesting and has many good values .,wine list,explicit,DRINKS PRICES,positive,good values
301,Suan is a great place that I often take my friends ( classmates ) too .,Suan,explicit,RESTAURANT GENERAL,positive,great
302,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you 'll love it here .,bottle,explicit,DRINKS PRICES,negative,love
303,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you 'll love it here .,music,explicit,AMBIENCE GENERAL,negative,like
304,"We left , never to return .",NULL,implicit,RESTAURANT GENERAL,negative,never to return
305,"The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .",anti-pasta,explicit,FOOD QUALITY,positive,excellent
306,"The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .",calamari,explicit,FOOD QUALITY,positive,excellent
307,"The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .",pasta mains,explicit,FOOD QUALITY,positive,excellent
308,"The anti-pasta was excellent , especially the calamari , as were the filling pasta mains .",pasta mains,explicit,FOOD STYLE_OPTIONS,positive,excellent
309,"Of course , it is crowded but who cares .",NULL,implicit,AMBIENCE GENERAL,neutral,crowded but who cares
310,We all felt it was worth it .,NULL,implicit,RESTAURANT GENERAL,positive,worth
311,We waited at the bar and had martinis that were just right .,martinis,explicit,DRINKS QUALITY,positive,right
312,"The portion sizes here are huge , and the sushi is good .",portion sizes,explicit,FOOD STYLE_OPTIONS,positive,huge
313,"The portion sizes here are huge , and the sushi is good .",sushi,explicit,FOOD QUALITY,positive,good
314,"But the best part about LS is the late night atmosphere , delightfully free of the BTs .",late night atmosphere,explicit,AMBIENCE GENERAL,positive,best
315,I have NEVER been disappointed in the Red Eye .,Red Eye,explicit,RESTAURANT GENERAL,positive,NEVER been disappointed
316,I went there for lunch and it was not as good as I expected from the reviews I read .,lunch,explicit,FOOD QUALITY,negative,not as good as I expected
317,"The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",chicken pot pie,explicit,FOOD QUALITY,positive,exceptional
318,"The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",cheeseburger,explicit,FOOD STYLE_OPTIONS,positive,huge
319,"The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",cheeseburger,explicit,FOOD QUALITY,positive,delictable
320,"The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",service,explicit,SERVICE GENERAL,positive,professional
321,"The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",service,explicit,SERVICE GENERAL,positive,warm
322,With the theater 2 blocks away we had a delicious meal in a beautiful room .,meal,explicit,FOOD QUALITY,positive,delicious
323,With the theater 2 blocks away we had a delicious meal in a beautiful room .,room,explicit,AMBIENCE GENERAL,positive,beautiful
324,With the theater 2 blocks away we had a delicious meal in a beautiful room .,NULL,implicit,LOCATION GENERAL,positive,2 blocks away
325,Try the lobster teriyaki and the rose special roll .,lobster teriyaki,explicit,FOOD QUALITY,positive,Try
326,Try the lobster teriyaki and the rose special roll .,rose special roll,explicit,FOOD QUALITY,positive,Try
327,This place has got to be the best japanese restaurant in the new york area .,place,explicit,RESTAURANT GENERAL,positive,best
328,I have never before eaten 40 pieces of relatively good nigiri .,nigiri,explicit,FOOD QUALITY,neutral,good
329,"I did n't complain , I liked the atmosphere so much .",atmosphere,explicit,AMBIENCE GENERAL,positive,liked
330,Great pizza for lunch place .,pizza,explicit,FOOD QUALITY,positive,Great
331,Someone else recommended the dessert - we also left that .,dessert,explicit,FOOD QUALITY,negative,recommended
332,"Best Italian food I ever had ( and being Italian , that means alot ) .",Italian food,explicit,FOOD QUALITY,positive,Best
333,My Girlfriend and I stumbled onto this hopping place the other night and had a great time !,place,explicit,RESTAURANT GENERAL,positive,hopping
334,My Girlfriend and I stumbled onto this hopping place the other night and had a great time !,place,explicit,RESTAURANT GENERAL,positive,great time
335,"So close , but not good enough .",NULL,implicit,RESTAURANT GENERAL,neutral,not good enough
336,"Great food , good size menu , great service and an unpretensious setting .",food,explicit,FOOD QUALITY,positive,Great
337,"Great food , good size menu , great service and an unpretensious setting .",menu,explicit,FOOD STYLE_OPTIONS,positive,good size
338,"Great food , good size menu , great service and an unpretensious setting .",service,explicit,SERVICE GENERAL,positive,great
339,"Great food , good size menu , great service and an unpretensious setting .",setting,explicit,AMBIENCE GENERAL,positive,unpretensious
340,The shrimp scampi was excellent and the antipasti were plentiful .,shrimp scampi,explicit,FOOD QUALITY,positive,excellent
341,The shrimp scampi was excellent and the antipasti were plentiful .,antipasti,explicit,FOOD STYLE_OPTIONS,positive,plentiful
342,Will absolutely visit again .,NULL,implicit,RESTAURANT GENERAL,positive,visit again
343,"The food arrived 20 minutes after I called , cold and soggy .",food,explicit,FOOD QUALITY,negative,cold
344,"The food arrived 20 minutes after I called , cold and soggy .",food,explicit,FOOD QUALITY,negative,soggy
345,"The food arrived 20 minutes after I called , cold and soggy .",NULL,implicit,SERVICE GENERAL,negative,20 minutes
